N,storage,paired,farmPerson,farmName,farmNumber,BP_Treatment,treatment,EM-ID,replicateNumber,replicateLetter,farmReplicate,EM_IDRepl,EM_Sample,sampleID,replSampleID,shortSampleID,dnaConcentration,dnaPurity,lowReads
25,Silica,Y,Idesam,Farm 4,4,SAF,SAF,EM110-09,1,A,09A,EM110_09A,EM110-09A-R1,Farm4-SAF-09A-Silica,Farm4-SAF-1,Farm4-SAF,13.6,1.7,N
26,Silica,Y,Idesam,Farm 4,4,SAF,SAF,EM110-09,2,B,09B,EM110_09B,EM110-09B-R1,Farm4-SAF-09B-Silica,Farm4-SAF-2,Farm4-SAF,14.6,1.7,N
27,Silica,Y,Idesam,Farm 4,4,SAF,SAF,EM110-09,3,C,09C,EM110_09C,EM110-09C-R1,Farm4-SAF-09C-Silica,Farm4-SAF-3,Farm4-SAF,13.7,1.8,N
28,Silica,N,Jocelio,Farm 5,5,Juquira,Succession,EM110-10,1,A,10A,EM110_10A,EM110-10A-R1,Farm5-Succession-10A-Silica,Farm5-Succession-1,Farm5-Succession,13.8,1.8,N
29,Silica,N,Jocelio,Farm 5,5,Juquira,Succession,EM110-10,2,B,10B,EM110_10B,EM110-10B-R1,Farm5-Succession-10B-Silica,Farm5-Succession-2,Farm5-Succession,14.8,1.7,N
30,Silica,N,Jocelio,Farm 5,5,Juquira,Succession,EM110-10,3,C,10C,EM110_10C,EM110-10C-R1,Farm5-Succession-10C-Silica,Farm5-Succession-3,Farm5-Succession,14.6,1.7,N
31,Silica,Y,Jocelio,Farm 5,5,Pasto,Pasture,EM110-11,1,A,11A,EM110_11A,EM110-11A-R1,Farm5-Pasture-11A-Silica,Farm5-Pasture-1,Farm5-Pasture,10.8,1.6,N
32,Silica,Y,Jocelio,Farm 5,5,Pasto,Pasture,EM110-11,2,B,11B,EM110_11B,EM110-11B-R1,Farm5-Pasture-11B-Silica,Farm5-Pasture-2,Farm5-Pasture,13,1.7,N
33,Silica,Y,Jocelio,Farm 5,5,Pasto,Pasture,EM110-11,3,C,11C,EM110_11C,EM110-11C-R1,Farm5-Pasture-11C-Silica,Farm5-Pasture-3,Farm5-Pasture,13,1.7,N
34,Silica,N,Ronaldo,Farm 6,6,SAF 1,SAF,EM110-12,1,A,12A,EM110_12A,EM110-12A-R1,Farm6-SAF-12A-Silica,Farm6-SAF-1,Farm6-SAF,9.4,1.6,N
35,Silica,N,Ronaldo,Farm 6,6,SAF 1,SAF,EM110-12,2,B,12B,EM110_12B,EM110-12B-R1,Farm6-SAF-12B-Silica,Farm6-SAF-2,Farm6-SAF,11.3,1.6,N
36,Silica,N,Ronaldo,Farm 6,6,SAF 1,SAF,EM110-12,3,C,12C,EM110_12C,EM110-12C-R1,Farm6-SAF-12C-Silica,Farm6-SAF-3,Farm6-SAF,11.8,1.6,N
37,Silica,N,Ronaldo,Farm 6,6,Floresta,Forest,EM110-13,1,A,13A,EM110_13A,EM110-13A-R1,Farm6-Forest-13A-Silica,Farm6-Forest-1,Farm6-Forest,21.3,1.8,N
38,Silica,N,Ronaldo,Farm 6,6,Floresta,Forest,EM110-13,2,B,13B,EM110_13B,EM110-13B-R1,Farm6-Forest-13B-Silica,Farm6-Forest-2,Farm6-Forest,23.8,1.7,N
39,Silica,N,Ronaldo,Farm 6,6,Floresta,Forest,EM110-13,3,C,13C,EM110_13C,EM110-13C-R1,Farm6-Forest-13C-Silica,Farm6-Forest-3,Farm6-Forest,21.7,1.7,N
