"","plot_id","EDGE.farm","TOTALAREA.farm","CONT.mean.farm","pca.all.farm$x.PC1","pca.all.farm$x.PC2","pca.all.farm$x.PC3","pca.all.farm$x.PC4","pca.all.farm$x.PC5","pca.all.farm$x.PC6","pca.all.farm$x.PC7"
"1",1,118.278529980658,51.7,0.834424720702458,-3.82632030366264,-0.068399044270649,1.3216258230642,-0.401055219943566,0.905012055103142,0.190585612187905,-0.0151796246326818
"2",2,70.7811825636599,28.9625,0.931291623764258,-0.769792586022339,-1.21150325201541,0.515310352516777,0.0753204244135773,-0.051036274717792,0.350837444490819,-0.139690504480848
"3",3,69.9450623073831,18.6575,0.821830962410898,-0.697220652232422,-0.566704423602123,-0.601426594009998,-0.377411804566865,-0.20204456750984,0.59657901910933,0.0442793963394466
"4",4,37.2710379612424,47.0875,0.855098710538435,0.42042048000822,-0.0731291904750462,-0.330857268709794,1.04275548058108,-0.367710790071149,0.268448059072674,-0.268528151694048
"5",5,5.79227168134571,63.015,0.974879986959073,2.82157854373565,-0.844061814010894,-0.183932694631421,-0.80396621953149,0.339718834318251,-0.44263761538656,-0.120190226379571
"6",6,50.9880564603692,57.5625,0.841958650273508,-0.103087085618698,0.779793493897161,-0.685794458801946,1.11513525331825,-0.477400136857253,-1.12647370719996,-0.0289304089702039
"7",7,47.5692307692308,81.25,0.930256465124129,0.284492255168492,-0.254319412031986,0.487740314174861,1.10113442519056,-0.305342147705058,-0.302656910721234,-0.0932905246835462
"8",8,57.8803872032817,99.9475,0.853389931602229,-0.923581544642728,0.432751596966935,0.836811311361111,0.938292087049836,0.224604097409147,0.158017216298838,-0.22478747017738
"9",9,91.0499599251937,46.7875,0.50898008169198,-3.79236250600409,3.18926466809915,-1.75585830751664,0.795954847726133,0.0441448375984396,-0.0833841690175463,-0.177192365734514
"10",10,50.2934603767098,101.8025,0.796118738912377,-0.0975572032926353,1.1278595306233,-0.0904089231613155,-0.0503673166878196,0.508783892286712,-0.418188586853582,0.188054578175112
"11",11,32.2610956243931,79.8175,0.893269144027253,0.819351098571691,0.0340907666953668,0.0257521243552656,1.30663926869294,-0.448039988589752,-0.0941743762761554,-0.210758351901311
"12",12,37.4625801853172,87.6875,0.960393017430111,1.12634356207139,-0.624412105987718,0.468217568696462,0.823709418171056,-0.367695760327249,-0.164667080803757,-0.0223642895182366
"13",13,92.0541274523575,53.3925,0.76046576060789,-3.08137482908543,1.30495126321522,-0.0533122764753631,0.819546681254465,0.11535519138026,-0.784184847676452,-0.262332678254385
"14",14,84.9378748314155,87.1225,0.881071682066252,-1.91759335869416,0.0184571834769244,1.34910258897018,0.184994866257597,0.683351840869628,0.0152190029712253,0.0239173485014376
"15",15,38.6791577775717,53.905,0.825272603786433,0.869691203695513,0.31612938540372,-0.741898838483198,0.032291394220672,0.0441943209302979,-0.143885310695967,0.172201833097195
"16",16,33.1627869598993,186.655,0.864752434913572,0.0515494758505302,0.839441324646995,1.27709357972518,0.118718410213769,0.453370248990052,0.163507881597501,-0.473221460089323
"17",17,96.3031997514756,112.665,0.914823165575877,-2.30454636209391,0.173100733795036,1.8125669185495,0.676358644019492,0.522093275074317,-0.501648506888512,0.1674596521385
"18",18,21.2538819875776,51.52,0.974673281630977,2.07864706042062,-0.84563831254927,-0.231906351983561,0.857545754062853,-0.577262305089436,-0.434317436957876,-0.0778084289694666
"19",19,39.118542602054,145.3275,0.445075565823461,-1.74227386355548,5.67274265081636,-1.75300720879651,1.35716346234629,0.949664593021253,-1.28003248899916,-0.00131260638581487
"20",20,32.4693819424665,43.8875,0.739033166496036,0.441578340544999,0.474118584805803,-0.833928141254145,0.489864034528244,0.0650768158195308,1.24361226699171,-0.127003672567708
"21",21,17.4361879583294,79.4325,0.976046650206361,2.06340945563082,-0.761064694902871,0.127154854758563,0.94521539135315,-0.551095648055256,-0.186676860502327,-0.198630756591041
"22",22,17.4657336186455,86.455,0.861614440081397,1.17641139295693,0.13351683879815,0.0952483590508325,-0.601088486816861,0.712996209260066,0.246635347048825,-0.404022023623061
"23",23,71.5169852840049,36.355,0.960774314260984,-0.284556988465884,-1.26164637627714,0.488244317731854,0.750842005496615,-0.470851681022692,0.0668518826953589,0.157745188995853
"24",24,50.2248496791471,49.4775,0.946436490012704,0.0267229775511172,-1.15621031050933,0.813562786847957,0.923166188120743,-0.160564436768915,0.729697844013064,-0.28801211875564
"25",25,22.1915205940765,57.905,0.796515227379133,0.106875891788669,0.463082973665861,-0.100163652319991,-0.0869388929511377,0.718408917407857,0.66587607366552,-0.772027918497279
"26",26,69.8092839150774,97.265,0.859775437125856,-1.78482723623698,0.40542239470888,1.31957384430291,0.365307068341634,0.788451587571572,0.0603233595402467,-0.328267967650757
"27",27,92.8693210309899,24.9275,0.906630947065654,-1.48644126233572,-1.28357270760271,0.46758787338391,0.29094600633114,-0.356954496989676,0.612859566708551,0.183586483990089
"28",28,49.8414585810543,50.46,0.923006376287937,0.252450568844194,-0.615480752392029,0.191759152688184,1.08605712613244,-0.449764994177734,0.0206262574268615,-0.101078078665268
"29",29,38.9941012108041,40.2625,0.971228523908424,1.1085236544148,-1.31180221798521,0.412832535341152,-0.0175159898475119,0.119854582619353,0.250779297230828,-0.0666868629405393
"30",30,91.7772331614975,29.5825,0.944831219337253,-0.925423381565524,-1.22501796819226,0.251637058997329,0.549711382772389,-0.6781529498682,-0.189658694642228,0.426235957500667
"31",31,80.8126410835215,11.075,0.623958742276126,-2.27626965460801,0.854670904627537,-3.09223321157214,-1.58313124347575,-1.34167742342891,-0.0563893614624815,-0.618496486429079
"32",32,77.6659959758551,37.275,0.883829231650193,-0.813765006517412,-0.399009255050628,-0.0281850044792736,-0.839003415842468,0.335828802177649,-0.535127801369467,0.238277347609165
"33",33,42.2836095764273,169.6875,0.927961195868364,-0.0473036847909215,0.433336845426044,1.51020762809383,-0.0167188552958854,0.542265097071134,-0.460282738899799,-0.355910686832092
"34",34,78.6631342979417,12.2675,0.913501614976957,-0.123377551082851,-1.37417350074631,-0.394235582711722,-0.781819229356895,-0.313733927478233,0.0866700949795532,0.450709765384498
"35",35,202.188639916623,4.7975,0.830903743683242,-6.46934169055747,-2.25946853022792,-2.07056413998764,-3.35774232575583,-3.27612020841542,-0.789467156449311,-0.387470194562309
"36",36,23.3182559844683,242.085,0.833076325689702,1.03999902369747,1.87536238524419,0.574225371661097,0.261391980927249,-0.0794470701969753,-0.788405656957279,-0.0862818147538105
"37",37,25.9524895319431,60.3025,0.941394573349012,2.003682512491,-0.738663760023753,-0.168227924489965,-0.0644748871468392,-0.0453498283208632,-0.118944368048519,0.140752939956088
"38",38,74.090407938258,68.025,0.886390370963425,-1.2422319153024,-0.308128685209224,0.982340248735587,-0.286805945308897,0.720381221318309,0.173800247057265,-0.0120695907814081
"39",39,57.9551667577911,100.595,0.843000925935589,-0.825039519098791,0.548048074332729,0.730188863971539,0.343398418288506,0.518034092204906,0.011765939378508,-0.124736174957302
"40",40,37.2659043019154,105.5925,0.864921039619355,0.390820788640068,0.0606438594395974,0.583208643283411,0.0142378279285879,0.406821795709389,0.523239859831033,-0.207272122225799
"41",41,47.9928899422308,16.8775,0.932621417278601,0.881290112290765,-1.03076802622068,-0.7914754666961,0.371394638721773,-0.886902546821286,-0.38885234993641,-0.00503459142437389
"42",42,117.617237008872,9.8625,0.793406134640722,-3.01434340559215,-0.956506965508058,-1.21209318616147,-0.262520251177007,-1.75231871820393,0.502799659382401,-0.155325719450001
"43",43,69.7452229299363,15.7,0.86487002896572,-0.746720030604391,-0.913444494472225,-0.621323258062116,0.880083813116168,-1.16108137066314,0.503887647835432,-0.194681823534298
"44",44,60.4135606404356,38.5675,0.813431797572641,-1.19763344938165,-0.149952594159425,0.21096682716332,-0.270693728938815,0.558028043298468,0.81862624283792,-0.401902294877769
"45",45,42.1265188176722,71.8075,0.910387684147334,0.695308538020011,-0.30522336586428,0.168376271102954,0.769370948585137,-0.236322293510558,-0.0635737775237234,-0.00599699420611507
"46",46,50.8704085491564,204.9325,0.796416426545346,-0.678098091603074,1.60261096505972,1.13962560055961,0.290230459630595,0.454034026329174,0.0765683465409278,-0.0835250451617816
"47",47,72.5628352087496,47.545,0.832957755100841,-0.979949156204748,0.087897080574521,-0.0822485970208062,0.316646326947722,0.00248313403108703,-0.0376501303227069,0.140125511365193
