"","PC1","PC2","PC3","PC4","PC5","PC6","PC7"
"FRACM.mean.farm",-0.364191037630198,-0.105864504641205,0.365361569487817,-0.594289161038554,0.514668821002567,-0.241648431086325,-0.214967327335452
"TOTALAREA.farm",0.146542576467287,0.498354715568052,0.580495289476314,-0.280476756641414,-0.555421789850312,-0.0744262939772758,0.0222085739619407
"NUMPAT.farm",-0.379503392017737,0.507297262733962,0.166352551664933,0.286742219032656,0.296160340667682,0.623805058526524,-0.10903528154125
"PD.farm",-0.438554550340822,-0.112939789422903,-0.381102219318663,-0.300240091255273,-0.513289142692811,0.22150535153715,-0.496992084049603
"EDGE.farm",-0.546255290725017,-0.19100257558829,0.0502302315901304,-0.0872468531570915,-0.198509965806895,0.0803768497477721,0.780462324152885
"SHDI.farm",-0.413508654844863,-0.135943239409864,0.314030721353835,0.620694127809144,-0.162707191342781,-0.479235461445308,-0.265543360216419
"CONT.mean.farm",0.200382117310601,-0.64448958648941,0.505455932107397,0.0539884784068718,-0.0978065029396049,0.511607589108466,-0.121537186140424
