system:index,2017_carbon,2017_standAge,2018_carbon,2018_standAge,2019_carbon,2019_standAge,2020_carbon,2020_standAge,2021_carbon,2021_standAge,.geo
00000000000000000003_0,2.445420037385529,47,2.449485873431824,48,2.4530756351562215,49,3.889882938988682E-5,1,0.001029068900523087,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_0,0.3303381750511785,9,0.4385682662334323,10,0.5562223243939945,11,0.6799708961627136,12,0.8066958704124162,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_0,0.3303381750511785,9,0.4385682662334323,10,0.5562223243939945,11,0.6799708961627136,12,0.8066958704124162,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_0,2.445420037385529,47,2.449485873431824,48,2.4530756351562215,49,2.456244593311927,50,2.4590417075711226,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_0,0.3303381750511785,9,0.4385682662334323,10,0.5562223243939945,11,0.6799708961627136,12,0.8066958704124162,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_0,2.445420037385529,47,2.449485873431824,48,2.4530756351562215,49,2.456244593311927,50,2.4590417075711226,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013_0,2.445420037385529,47,2.449485873431824,48,2.4530756351562215,49,2.456244593311927,50,2.4590417075711226,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a_0,0.3303381750511785,9,0.4385682662334323,10,2.4530756351562215,49,3.889882938988682E-5,1,0.001029068900523087,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c_0,2.445420037385529,47,2.449485873431824,48,2.4530756351562215,49,2.456244593311927,50,2.4590417075711226,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b_0,2.445420037385529,47,2.449485873431824,48,2.4530756351562215,49,2.456244593311927,50,2.4590417075711226,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e_0,2.445420037385529,47,2.449485873431824,48,2.4530756351562215,49,2.456244593311927,50,2.4590417075711226,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f_0,2.445420037385529,47,2.449485873431824,48,2.4530756351562215,49,2.456244593311927,50,2.4590417075711226,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000035_0,2.445420037385529,47,2.449485873431824,48,2.4530756351562215,49,2.456244593311927,50,2.4590417075711226,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_0,0.6799708961627136,12,0.8066958704124162,13,0.9336515130203743,14,1.0585432930732979,15,1.1795467859176587,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
